AcidicGroupCountDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
AdjacencyMatrix	org.openscience.cdk.graph.matrix	core
AllRingsFinder	org.openscience.cdk.ringsearch	standard
ALOGPDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
AminoAcidCountDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarprotein
APolDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
AromaticAtomsCountDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
AromaticBondsCountDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
Aromaticity	org.openscience.cdk.aromaticity	standard
AtomContainerManipulator	org.openscience.cdk.tools.manipulator	standard
AtomCountDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
AtomTypeManipulator	org.openscience.cdk.tools.manipulator	standard
AutocorrelationDescriptorCharge	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
AutocorrelationDescriptorMass	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
AutocorrelationDescriptorPolarizability	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
BasicGroupCountDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
BCUTDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
BondCountDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
BooleanResult	org.openscience.cdk.qsar.result	standard
BPolDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
CarbonTypesDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
CDKAtomTypeMatcher	org.openscience.cdk.atomtype	core
CDKConstants	org.openscience.cdk	core
CDKHydrogenAdder	org.openscience.cdk.tools	valencycheck
ChiChainDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
ChiClusterDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
ChiPathClusterDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
ChiPathDescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
CircularFingerprinter	org.openscience.cdk.fingerprint	fingerprint
ConnectivityChecker	org.openscience.cdk.graph	standard
CPSADescriptor	org.openscience.cdk.qsar.descriptors.molecular	qsarmolecular
CycleFinder	org.openscience.cdk.graph	core
DebugChemObjectBuilder	org.openscience.cdk.debug	datadebug
DefaultChemObjectBuilder	org.openscience.cdk	data
DescriptorEngine	org.openscience.cdk.qsar	qsarmolecular
DescriptorValue	org.openscience.cdk.qsar	standard
